Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Site creation/div_click""))",Chrome 113.0.0.0,,,2023-05-22 13:14:21,2023-05-22 13:14:22,0.466s,PASSED
driver = getWebDriver(),Chrome 113.0.0.0,,,2023-05-22 13:14:22,2023-05-22 13:14:22,0.001s,PASSED
executor = driver,Chrome 113.0.0.0,,,2023-05-22 13:14:22,2023-05-22 13:14:22,0.002s,PASSED
"li = driver.findElements(By.xpath(""//div[@class="" + ""'col']""))",Chrome 113.0.0.0,,,2023-05-22 13:14:22,2023-05-22 13:14:22,0.337s,PASSED
op = li.size(),Chrome 113.0.0.0,,,2023-05-22 13:14:22,2023-05-22 13:14:22,0.000s,PASSED
println(op),Chrome 113.0.0.0,,,2023-05-22 13:14:22,2023-05-22 13:14:22,0.009s,PASSED
"for ([i = 0, i < li.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-22 13:14:22,2023-05-22 13:14:31,8.356s,PASSED
ScrollIntoCreatedSite.screenshot(),Chrome 113.0.0.0,,,2023-05-22 13:14:31,2023-05-22 13:14:34,3.044s,PASSED
,,,,,,,
Test Cases/Dept-Units creation - Suite,Chrome 113.0.0.0,,,2023-05-22 13:14:34,2023-05-22 13:15:56,1m - 22.721s,PASSED
driver = getWebDriver(),Chrome 113.0.0.0,,,2023-05-22 13:14:37,2023-05-22 13:14:37,0.000s,PASSED
actions = sendKeys(HOME).perform(),Chrome 113.0.0.0,,,2023-05-22 13:14:37,2023-05-22 13:14:37,0.026s,PASSED
"click(findTestObject(""Dept-User creation/Departments - Units""))",Chrome 113.0.0.0,,,2023-05-22 13:14:37,2023-05-22 13:14:38,0.902s,PASSED
"click(findTestObject(""Dept-User creation/button_Add Department""))",Chrome 113.0.0.0,,,2023-05-22 13:14:38,2023-05-22 13:14:39,1.924s,PASSED
dateFormat = new java.text.SimpleDateFormat(yyyy/dd/MM HH:mm:ss),Chrome 113.0.0.0,,,2023-05-22 13:14:39,2023-05-22 13:14:39,0.001s,PASSED
date = new java.util.Date(),Chrome 113.0.0.0,,,2023-05-22 13:14:39,2023-05-22 13:14:39,0.001s,PASSED
a = dateFormat.format(date),Chrome 113.0.0.0,,,2023-05-22 13:14:39,2023-05-22 13:14:39,0.000s,PASSED
println(a),Chrome 113.0.0.0,,,2023-05-22 13:14:39,2023-05-22 13:14:39,0.000s,PASSED
"b = "" - """,Chrome 113.0.0.0,,,2023-05-22 13:14:39,2023-05-22 13:14:39,0.000s,PASSED
"D = findTestData(""Dept_Unit Data"").getValue(""Department Name"", 1) + b + a",Chrome 113.0.0.0,,,2023-05-22 13:14:39,2023-05-22 13:14:40,0.131s,PASSED
"setText(findTestObject(""Dept-User creation/input_Department Name""), D)",Chrome 113.0.0.0,,,2023-05-22 13:14:40,2023-05-22 13:14:42,2.395s,PASSED
println(D),Chrome 113.0.0.0,,,2023-05-22 13:14:42,2023-05-22 13:14:42,0.000s,PASSED
logInfo(D),Chrome 113.0.0.0,,,2023-05-22 13:14:42,2023-05-22 13:14:42,0.001s,PASSED
"Excel.writeData(""ELL_Departments & Units"", ""Add D&U"", 1, 2, D)",Chrome 113.0.0.0,,,2023-05-22 13:14:42,2023-05-22 13:14:42,0.123s,PASSED
"selectOptionByLabel(findTestObject(""Dept-User creation/input_Site""), findTestData(""Dept_Unit Data"").getValue(""Site"", 1), true)",Chrome 113.0.0.0,,,2023-05-22 13:14:42,2023-05-22 13:14:49,6.908s,PASSED
"verifyOptionPresentByLabel(findTestObject(""Dept-User creation/input_Site""), findTestData(""Dept_Unit Data"").getValue(""Site"", 1), false, 2)",Chrome 113.0.0.0,,,2023-05-22 13:14:49,2023-05-22 13:14:53,4.349s,PASSED
"setText(findTestObject(""Dept-User creation/input_Bench Unit Name""), findTestData(""Dept_Unit Data"").getValue(""Bench / Unit Name"", 1))",Chrome 113.0.0.0,,,2023-05-22 13:14:53,2023-05-22 13:14:54,1.027s,PASSED
"D1 = getAttribute(findTestObject(""Dept-User creation/input_Bench Unit Name""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:14:54,2023-05-22 13:14:55,0.439s,PASSED
println(D1),Chrome 113.0.0.0,,,2023-05-22 13:14:55,2023-05-22 13:14:55,0.001s,PASSED
"verifyEqual(findTestData(""Dept_Unit Data"").getValue(""Bench / Unit Name"", 1), D1)",Chrome 113.0.0.0,,,2023-05-22 13:14:55,2023-05-22 13:14:55,0.076s,PASSED
"setText(findTestObject(""Dept-User creation/input_CLIA""), findTestData(""Dept_Unit Data"").getValue(""CLIA License Number"", 1))",Chrome 113.0.0.0,,,2023-05-22 13:14:55,2023-05-22 13:14:56,1.012s,PASSED
"D2 = getAttribute(findTestObject(""Dept-User creation/input_CLIA""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:14:56,2023-05-22 13:14:56,0.422s,PASSED
println(D2),Chrome 113.0.0.0,,,2023-05-22 13:14:56,2023-05-22 13:14:56,0.000s,PASSED
"verifyEqual(findTestData(""Dept_Unit Data"").getValue(""CLIA License Number"", 1), D2)",Chrome 113.0.0.0,,,2023-05-22 13:14:56,2023-05-22 13:14:56,0.073s,PASSED
"setText(findTestObject(""Dept-User creation/input_Joint Commission""), findTestData(""Dept_Unit Data"").getValue(""Joint Commission"", 1))",Chrome 113.0.0.0,,,2023-05-22 13:14:56,2023-05-22 13:14:58,1.043s,PASSED
"D3 = getAttribute(findTestObject(""Dept-User creation/input_Joint Commission""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:14:58,2023-05-22 13:14:58,0.414s,PASSED
println(D3),Chrome 113.0.0.0,,,2023-05-22 13:14:58,2023-05-22 13:14:58,0.001s,PASSED
"verifyEqual(findTestData(""Dept_Unit Data"").getValue(""Joint Commission"", 1), D3)",Chrome 113.0.0.0,,,2023-05-22 13:14:58,2023-05-22 13:14:58,0.068s,PASSED
"setText(findTestObject(""Dept-User creation/input_CAP""), findTestData(""Dept_Unit Data"").getValue(""CAP"", 1))",Chrome 113.0.0.0,,,2023-05-22 13:14:58,2023-05-22 13:14:59,0.963s,PASSED
"D4 = getAttribute(findTestObject(""Dept-User creation/input_CAP""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:14:59,2023-05-22 13:14:59,0.436s,PASSED
println(D4),Chrome 113.0.0.0,,,2023-05-22 13:14:59,2023-05-22 13:14:59,0.001s,PASSED
"verifyEqual(findTestData(""Dept_Unit Data"").getValue(""CAP"", 1), D4)",Chrome 113.0.0.0,,,2023-05-22 13:14:59,2023-05-22 13:14:59,0.067s,PASSED
"setText(findTestObject(""Dept-User creation/input_COLA""), findTestData(""Dept_Unit Data"").getValue(""COLA"", 1))",Chrome 113.0.0.0,,,2023-05-22 13:14:59,2023-05-22 13:15:00,0.924s,PASSED
"D5 = getAttribute(findTestObject(""Dept-User creation/input_COLA""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:15:00,2023-05-22 13:15:01,0.414s,PASSED
println(D5),Chrome 113.0.0.0,,,2023-05-22 13:15:01,2023-05-22 13:15:01,0.001s,PASSED
"verifyEqual(findTestData(""Dept_Unit Data"").getValue(""COLA"", 1), D5)",Chrome 113.0.0.0,,,2023-05-22 13:15:01,2023-05-22 13:15:01,0.062s,PASSED
"setText(findTestObject(""Dept-User creation/input_AABB""), findTestData(""Dept_Unit Data"").getValue(""AABB"", 1))",Chrome 113.0.0.0,,,2023-05-22 13:15:01,2023-05-22 13:15:02,0.963s,PASSED
"D6 = getAttribute(findTestObject(""Dept-User creation/input_AABB""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:15:02,2023-05-22 13:15:02,0.436s,PASSED
println(D6),Chrome 113.0.0.0,,,2023-05-22 13:15:02,2023-05-22 13:15:02,0.001s,PASSED
"verifyEqual(findTestData(""Dept_Unit Data"").getValue(""AABB"", 1), D6)",Chrome 113.0.0.0,,,2023-05-22 13:15:02,2023-05-22 13:15:02,0.061s,PASSED
"setText(findTestObject(""Dept-User creation/input_AALA""), ""AALA"")",Chrome 113.0.0.0,,,2023-05-22 13:15:02,2023-05-22 13:15:03,0.829s,PASSED
"setText(findTestObject(""Dept-User creation/input_AOAHFAP""), ""AOAHFAP"")",Chrome 113.0.0.0,,,2023-05-22 13:15:03,2023-05-22 13:15:04,0.936s,PASSED
"setText(findTestObject(""Dept-User creation/input_ASHI""), ""ASHI"")",Chrome 113.0.0.0,,,2023-05-22 13:15:04,2023-05-22 13:15:05,0.876s,PASSED
